model,make,year,displ,cyl,trans,trans_type,drive,fuel,veh_class,city_mpg,hwy_mpg,cmb_mpg,air_pollution_score,greenhouse_gas_score,smartway
ACURA MDX,ACURA,2008,3.7,6,Auto-S5,Auto,4WD,Gasoline,SUV,15,20,17,7,4,No
ACURA MDX,ACURA,2008,3.7,6,Auto-S5,Auto,4WD,Gasoline,SUV,15,20,17,6,4,No
ACURA RDX,ACURA,2008,2.3,4,Auto-S5,Auto,4WD,Gasoline,SUV,17,22,19,7,5,No
ACURA RDX,ACURA,2008,2.3,4,Auto-S5,Auto,4WD,Gasoline,SUV,17,22,19,6,5,No
ACURA RL,ACURA,2008,3.5,6,Auto-S5,Auto,4WD,Gasoline,midsize car,16,24,19,7,5,No
ACURA RL,ACURA,2008,3.5,6,Auto-S5,Auto,4WD,Gasoline,midsize car,16,24,19,6,5,No
ACURA TL,ACURA,2008,3.2,6,Auto-S5,Auto,2WD,Gasoline,midsize car,18,26,21,7,6,Yes
ACURA TL,ACURA,2008,3.5,6,Auto-S5,Auto,2WD,Gasoline,midsize car,17,26,20,7,6,Yes
ACURA TL,ACURA,2008,3.5,6,Man-6,Man,2WD,Gasoline,midsize car,18,27,21,7,6,Yes
ACURA TL,ACURA,2008,3.2,6,Auto-S5,Auto,2WD,Gasoline,midsize car,18,26,21,6,6,No
ACURA TL,ACURA,2008,3.5,6,Auto-S5,Auto,2WD,Gasoline,midsize car,17,26,20,6,6,No
ACURA TL,ACURA,2008,3.5,6,Man-6,Man,2WD,Gasoline,midsize car,18,27,21,6,6,No
ACURA TSX,ACURA,2008,2.4,4,Man-6,Man,2WD,Gasoline,small car,19,28,22,6,6,No
ACURA TSX,ACURA,2008,2.4,4,Auto-S5,Auto,2WD,Gasoline,small car,20,28,23,6,7,Yes
ASTON MARTIN DB9,ASTON,2008,5.9,12,Man-6,Man,2WD,Gasoline,small car,10,16,12,6,0,No
ASTON MARTIN DB9,ASTON,2008,5.9,12,Auto-S6,Auto,2WD,Gasoline,small car,11,18,13,6,1,No
ASTON MARTIN DB9 Volante,ASTON,2008,5.9,12,Man-6,Man,2WD,Gasoline,small car,10,16,12,6,0,No
ASTON MARTIN DB9 Volante,ASTON,2008,5.9,12,Auto-S6,Auto,2WD,Gasoline,small car,11,17,13,6,1,No
ASTON MARTIN V8 Vantage,ASTON,2008,4.3,8,Man-6,Man,2WD,Gasoline,small car,12,19,15,6,3,No
ASTON MARTIN V8 Vantage,ASTON,2008,4.3,8,Auto-S6,Auto,2WD,Gasoline,small car,13,20,15,6,3,No
AUDI A3,AUDI,2008,2.0,4,Man-6,Man,2WD,Gasoline,station wagon,21,29,24,7,7,Yes
AUDI A3,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,station wagon,22,29,25,7,7,Yes
AUDI A3,AUDI,2008,2.0,4,Man-6,Man,2WD,Gasoline,station wagon,21,29,24,6,7,Yes
AUDI A3,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,station wagon,22,29,25,6,7,Yes
AUDI A3,AUDI,2008,3.2,6,Auto-S6,Auto,4WD,Gasoline,station wagon,18,25,21,6,6,No
AUDI A4,AUDI,2008,2.0,4,Auto-AV,Auto,2WD,Gasoline,small car,21,30,24,7,7,Yes
AUDI A4,AUDI,2008,2.0,4,Auto-AV,Auto,2WD,Gasoline,small car,21,30,24,6,7,Yes
AUDI A4,AUDI,2008,3.1,6,Man-6,Man,4WD,Gasoline,small car,15,25,19,6,5,No
AUDI A4,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,small car,17,25,20,6,6,No
AUDI A4,AUDI,2008,3.1,6,Auto-AV,Auto,2WD,Gasoline,small car,18,27,21,6,6,No
AUDI A4 Avant,AUDI,2008,3.1,6,Man-6,Man,4WD,Gasoline,station wagon,15,25,19,6,5,No
AUDI A4 Avant,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,station wagon,17,25,20,6,6,No
AUDI A4 Cabriolet,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,small car,17,25,20,6,6,No
AUDI A6,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,midsize car,17,25,20,6,6,No
AUDI A6,AUDI,2008,3.1,6,Auto-AV,Auto,2WD,Gasoline,midsize car,18,27,21,6,6,No
AUDI A6,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,midsize car,16,23,18,6,5,No
AUDI A6 Avant,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,station wagon,17,25,20,6,6,No
AUDI A8,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,midsize car,16,23,18,6,5,No
AUDI A8 L,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,large car,16,23,18,6,5,No
AUDI A8 L,AUDI,2008,6.0,12,Auto-S6,Auto,4WD,Gasoline,large car,13,19,15,6,3,No
AUDI Q7,AUDI,2008,3.6,6,Auto-S6,Auto,4WD,Gasoline,SUV,14,20,16,6,4,No
AUDI Q7,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,SUV,12,17,14,6,2,No
AUDI R8,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,small car,13,19,15,6,3,No
AUDI R8,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,small car,13,20,15,6,3,No
AUDI RS4,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,small car,13,20,15,6,3,No
AUDI RS4 Cabriolet,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,small car,12,19,14,6,2,No
AUDI S4,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,small car,13,20,15,6,3,No
AUDI S4,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,small car,14,21,16,6,4,No
AUDI S4 Avant,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,station wagon,13,20,15,6,3,No
AUDI S4 Avant,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,station wagon,14,21,16,6,4,No
AUDI S4 Cabriolet,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,small car,13,19,15,6,3,No
AUDI S4 Cabriolet,AUDI,2008,4.2,8,Auto-S6,Auto,4WD,Gasoline,small car,14,21,16,6,4,No
AUDI S5,AUDI,2008,4.2,8,Man-6,Man,4WD,Gasoline,small car,14,21,16,6,4,No
AUDI S6,AUDI,2008,5.2,10,Auto-S6,Auto,4WD,Gasoline,midsize car,14,19,16,6,4,No
AUDI S8,AUDI,2008,5.2,10,Auto-S6,Auto,4WD,Gasoline,midsize car,13,19,15,6,3,No
AUDI TT Coupe,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,small car,23,31,26,7,8,Yes
AUDI TT Coupe,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,small car,23,31,26,6,8,Yes
AUDI TT Coupe,AUDI,2008,3.2,6,Man-6,Man,4WD,Gasoline,small car,17,24,19,6,5,No
AUDI TT Coupe,AUDI,2008,3.2,6,Auto-S6,Auto,4WD,Gasoline,small car,18,24,20,6,6,No
AUDI TT Roadster,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,small car,22,29,25,7,7,Yes
AUDI TT Roadster,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,small car,22,29,25,6,7,Yes
AUDI TT Roadster,AUDI,2008,3.2,6,Man-6,Man,4WD,Gasoline,small car,17,24,19,6,5,No
AUDI TT Roadster,AUDI,2008,3.2,6,Auto-S6,Auto,4WD,Gasoline,small car,18,24,20,6,6,No
BENTLEY Arnage,BENTLEY,2008,6.7,8,Auto-S6,Auto,2WD,Gasoline,large car,9,15,11,6,0,No
BENTLEY Arnage,BENTLEY,2008,6.7,8,Auto-S6,Auto,2WD,Gasoline,midsize car,10,15,11,6,0,No
BENTLEY Azure,BENTLEY,2008,6.7,8,Auto-S6,Auto,2WD,Gasoline,small car,9,15,11,6,0,No
BENTLEY Continental Flying Spur,BENTLEY,2008,6.0,12,Auto-S6,Auto,4WD,Gasoline,midsize car,10,17,12,6,0,No
BENTLEY Continental GT,BENTLEY,2008,6.0,12,Auto-S6,Auto,4WD,Gasoline,small car,10,17,13,6,1,No
BENTLEY Continental GTC,BENTLEY,2008,6.0,12,Auto-S6,Auto,4WD,Gasoline,small car,10,17,12,6,0,No
BMW 328ci,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,9,7,Yes
BMW 328ci,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,9,7,Yes
BMW 328ci,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,7,7,Yes
BMW 328ci,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,7,7,Yes
BMW 328ci,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,6,7,Yes
BMW 328ci,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,6,7,Yes
BMW 328ci Convertible,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,19,29,22,9,6,Yes
BMW 328ci Convertible,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,20,30,24,9,7,Yes
BMW 328ci Convertible,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,19,29,22,7,6,Yes
BMW 328ci Convertible,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,20,30,24,7,7,Yes
BMW 328ci Convertible,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,19,29,22,6,6,No
BMW 328ci Convertible,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,20,30,24,6,7,Yes
BMW 328cxi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,20,27,23,9,7,Yes
BMW 328cxi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,small car,19,28,22,7,6,Yes
BMW 328cxi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,20,27,23,7,7,Yes
BMW 328cxi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,small car,19,28,22,6,6,No
BMW 328cxi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,20,27,23,6,7,Yes
BMW 328i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,9,7,Yes
BMW 328i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,9,7,Yes
BMW 328i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,7,7,Yes
BMW 328i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,7,7,Yes
BMW 328i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,6,7,Yes
BMW 328i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,6,7,Yes
BMW 328i Sport Wagon,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,station wagon,19,29,22,7,6,Yes
BMW 328i Sport Wagon,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,station wagon,19,29,22,6,6,No
BMW 328xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,20,27,23,9,7,Yes
BMW 328xi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,small car,19,28,22,7,6,Yes
BMW 328xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,20,27,23,7,7,Yes
BMW 328xi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,small car,19,28,22,6,6,No
BMW 328xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,20,27,23,6,7,Yes
BMW 328xi Sport Wagon,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,station wagon,19,28,22,7,6,Yes
BMW 328xi Sport Wagon,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,station wagon,20,27,23,7,7,Yes
BMW 328xi Sport Wagon,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,station wagon,19,28,22,6,6,No
BMW 328xi Sport Wagon,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,station wagon,20,27,23,6,7,Yes
BMW 335ci,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,19,28,22,6,6,No
BMW 335ci,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,20,28,23,6,7,Yes
BMW 335ci Convertible,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,19,28,22,6,6,No
BMW 335ci Convertible,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,20,28,23,6,7,Yes
BMW 335cxi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,small car,18,27,21,6,6,No
BMW 335cxi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,19,27,22,6,6,No
BMW 335i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,19,28,22,6,6,No
BMW 335i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,20,28,23,6,7,Yes
BMW 335xi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,small car,18,27,21,6,6,No
BMW 335xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,small car,19,27,22,6,6,No
BMW 528i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,midsize car,20,30,24,7,7,Yes
BMW 528i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,midsize car,20,30,24,7,7,Yes
BMW 528i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,midsize car,20,30,24,6,7,Yes
BMW 528i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,midsize car,20,30,24,6,7,Yes
BMW 528xi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,midsize car,19,28,22,7,6,Yes
BMW 528xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,midsize car,20,27,23,7,7,Yes
BMW 528xi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,midsize car,19,28,22,6,6,No
BMW 528xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,midsize car,20,27,23,6,7,Yes
BMW 535i,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,midsize car,19,28,22,6,6,No
BMW 535i,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,midsize car,20,28,23,6,7,Yes
BMW 535xi,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,midsize car,18,27,21,6,6,No
BMW 535xi,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,midsize car,19,27,22,6,6,No
BMW 535xi Sport Wagon,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,station wagon,17,25,20,6,6,No
BMW 535xi Sport Wagon,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,station wagon,18,26,21,6,6,No
BMW 550i,BMW,2008,4.8,8,Man-6,Man,2WD,Gasoline,midsize car,17,24,19,7,5,No
BMW 550i,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,midsize car,17,25,20,7,6,Yes
BMW 550i,BMW,2008,4.8,8,Man-6,Man,2WD,Gasoline,midsize car,17,24,19,6,5,No
BMW 550i,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,midsize car,17,25,20,6,6,No
BMW 650ci,BMW,2008,4.8,8,Man-6,Man,2WD,Gasoline,small car,17,24,19,7,5,No
BMW 650ci,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,small car,17,25,20,7,6,Yes
BMW 650ci,BMW,2008,4.8,8,Man-6,Man,2WD,Gasoline,small car,17,24,19,6,5,No
BMW 650ci,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,small car,17,25,20,6,6,No
BMW 650ci Convertible,BMW,2008,4.8,8,Man-6,Man,2WD,Gasoline,small car,16,22,18,7,5,No
BMW 650ci Convertible,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,small car,17,25,20,7,6,Yes
BMW 650ci Convertible,BMW,2008,4.8,8,Man-6,Man,2WD,Gasoline,small car,16,22,18,6,5,No
BMW 650ci Convertible,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,small car,17,25,20,6,6,No
BMW 750i,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,large car,17,25,20,7,6,Yes
BMW 750i,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,large car,17,25,20,6,6,No
BMW 750li,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,large car,17,25,20,7,6,Yes
BMW 750li,BMW,2008,4.8,8,Auto-S6,Auto,2WD,Gasoline,large car,17,25,20,6,6,No
BMW 760li,BMW,2008,6.0,12,Auto-S6,Auto,2WD,Gasoline,large car,14,22,17,6,4,No
BMW Alpina B7,BMW,2008,4.4,8,Auto-S6,Auto,2WD,Gasoline,large car,15,23,18,6,5,No
BMW M5,BMW,2008,5.0,10,Man-6,Man,2WD,Gasoline,midsize car,12,18,14,6,2,No
BMW M5,BMW,2008,5.0,10,Auto-S7,Auto,2WD,Gasoline,midsize car,12,18,14,6,2,No
BMW M6,BMW,2008,5.0,10,Man-6,Man,2WD,Gasoline,small car,12,18,14,6,2,No
BMW M6,BMW,2008,5.0,10,Auto-S7,Auto,2WD,Gasoline,small car,12,18,14,6,2,No
BMW M6 Convertible,BMW,2008,5.0,10,Man-6,Man,2WD,Gasoline,small car,12,18,14,6,2,No
BMW M6 Convertible,BMW,2008,5.0,10,Auto-S7,Auto,2WD,Gasoline,small car,12,19,14,6,2,No
BMW X3,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,SUV,18,26,21,7,6,Yes
BMW X3,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,SUV,19,26,22,7,6,Yes
BMW X3,BMW,2008,3.0,6,Man-6,Man,4WD,Gasoline,SUV,18,26,21,6,6,No
BMW X3,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,SUV,19,26,22,6,6,No
BMW X5,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,SUV,17,23,19,7,5,No
BMW X5,BMW,2008,4.8,8,Auto-S6,Auto,4WD,Gasoline,SUV,15,21,17,7,4,No
BMW X5,BMW,2008,3.0,6,Auto-S6,Auto,4WD,Gasoline,SUV,17,23,19,6,5,No
BMW X5,BMW,2008,4.8,8,Auto-S6,Auto,4WD,Gasoline,SUV,15,21,17,3,4,No
BMW Z4,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,7,7,Yes
BMW Z4,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,7,7,Yes
BMW Z4,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,6,7,Yes
BMW Z4,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,6,7,Yes
BMW Z4 Coupe,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,7,7,Yes
BMW Z4 Coupe,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,7,7,Yes
BMW Z4 Coupe,BMW,2008,3.0,6,Man-6,Man,2WD,Gasoline,small car,20,30,24,6,7,Yes
BMW Z4 Coupe,BMW,2008,3.0,6,Auto-S6,Auto,2WD,Gasoline,small car,23,31,25,6,7,Yes
BUGATTI Veyron,BUGATTI,2008,8.0,16,Auto-S6,Auto,4WD,Gasoline,small car,8,14,10,6,0,No
BUICK Allure,BUICK,2008,3.8,6,Auto-L4,Auto,2WD,Gasoline,midsize car,17,28,21,9,6,Yes
BUICK Allure,BUICK,2008,3.6,6,Auto-L4,Auto,2WD,Gasoline,midsize car,17,25,20,6,6,No
BUICK Allure,BUICK,2008,3.8,6,Auto-L4,Auto,2WD,Gasoline,midsize car,17,28,21,6,6,No
BUICK Allure,BUICK,2008,5.3,8,Auto-L4,Auto,2WD,Gasoline,midsize car,16,25,19,6,5,No
BUICK Enclave,BUICK,2008,3.6,6,Auto-L6,Auto,2WD,Gasoline,SUV,16,24,19,6,5,No
BUICK Enclave,BUICK,2008,3.6,6,Auto-L6,Auto,4WD,Gasoline,SUV,16,22,18,6,5,No
BUICK LaCrosse,BUICK,2008,3.8,6,Auto-L4,Auto,2WD,Gasoline,midsize car,17,28,21,9,6,Yes
BUICK LaCrosse,BUICK,2008,3.6,6,Auto-L4,Auto,2WD,Gasoline,midsize car,17,25,20,6,6,No
BUICK LaCrosse,BUICK,2008,3.8,6,Auto-L4,Auto,2WD,Gasoline,midsize car,17,28,21,6,6,No
BUICK LaCrosse,BUICK,2008,5.3,8,Auto-L4,Auto,2WD,Gasoline,midsize car,16,25,19,6,5,No
BUICK Lucerne,BUICK,2008,3.8,6,Auto-L4,Auto,2WD,Gasoline,large car,16,25,19,9,5,No
BUICK Lucerne,BUICK,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,22,18,7,5,No
BUICK Lucerne,BUICK,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,23,18,7,5,No
BUICK Lucerne,BUICK,2008,3.8,6,Auto-L4,Auto,2WD,Gasoline,large car,16,25,19,6,5,No
BUICK Lucerne,BUICK,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,22,18,6,5,No
BUICK Lucerne,BUICK,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,23,18,6,5,No
BUICK Terraza,BUICK,2008,3.9,6,Auto-L4,Auto,2WD,Gasoline,minivan,16,23,19,6,5,No
CADILLAC CTS,CADILLAC,2008,3.6,6,Man-6,Man,2WD,Gasoline,midsize car,16,25,19,6,5,No
CADILLAC CTS,CADILLAC,2008,3.6,6,Auto-S6,Auto,4WD,Gasoline,midsize car,17,25,20,6,6,No
CADILLAC CTS,CADILLAC,2008,3.6,6,Auto-S6,Auto,4WD,Gasoline,midsize car,17,26,20,6,6,No
CADILLAC CTS,CADILLAC,2008,3.6,6,Auto-S6,Auto,2WD,Gasoline,midsize car,17,26,20,6,6,No
CADILLAC CTS,CADILLAC,2008,3.6,6,Auto-S6,Auto,2WD,Gasoline,midsize car,18,26,21,6,6,No
CADILLAC DTS,CADILLAC,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,22,18,7,5,No
CADILLAC DTS,CADILLAC,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,23,18,7,5,No
CADILLAC DTS,CADILLAC,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,22,18,6,5,No
CADILLAC DTS,CADILLAC,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,15,23,18,6,5,No
CADILLAC Escalade,CADILLAC,2008,6.2,8,Auto-L6,Auto,2WD,Gasoline,SUV,12,19,14,6,2,No
CADILLAC Escalade,CADILLAC,2008,6.2,8,Auto-L6,Auto,4WD,Gasoline,SUV,12,18,14,6,2,No
CADILLAC Limousine,CADILLAC,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,13,18,15,7,3,No
CADILLAC Limousine,CADILLAC,2008,4.6,8,Auto-L4,Auto,2WD,Gasoline,large car,13,18,15,6,3,No
CADILLAC SRX,CADILLAC,2008,3.6,6,Auto-S5,Auto,2WD,Gasoline,SUV,15,22,17,6,4,No
CADILLAC SRX,CADILLAC,2008,3.6,6,Auto-S5,Auto,4WD,Gasoline,SUV,14,22,17,6,4,No
CADILLAC SRX,CADILLAC,2008,4.6,8,Auto-S6,Auto,2WD,Gasoline,SUV,13,20,16,6,4,No
CADILLAC SRX,CADILLAC,2008,4.6,8,Auto-S6,Auto,4WD,Gasoline,SUV,13,20,15,6,3,No
CADILLAC STS,CADILLAC,2008,3.6,6,Auto-S6,Auto,4WD,Gasoline,midsize car,17,26,20,6,6,No
CADILLAC STS,CADILLAC,2008,3.6,6,Auto-S6,Auto,2WD,Gasoline,midsize car,17,26,20,6,6,No
CADILLAC STS,CADILLAC,2008,4.4,8,Auto-S6,Auto,2WD,Gasoline,midsize car,13,19,15,6,3,No
CADILLAC STS,CADILLAC,2008,4.6,8,Auto-S6,Auto,4WD,Gasoline,midsize car,14,21,16,6,4,No
CADILLAC STS,CADILLAC,2008,4.6,8,Auto-S6,Auto,2WD,Gasoline,midsize car,15,24,18,6,5,No
CADILLAC XLR,CADILLAC,2008,4.4,8,Auto-S6,Auto,2WD,Gasoline,small car,14,21,16,6,4,No
CADILLAC XLR,CADILLAC,2008,4.6,8,Auto-S6,Auto,2WD,Gasoline,small car,15,24,18,6,5,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,5.3,8,Auto-L4,Auto,2WD,Ethanol/Gas,SUV,12,17,14,7,5,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,5.3,8,Auto-L4,Auto,4WD,Ethanol/Gas,SUV,12,16,14,7,5,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,5.3,8,Auto-L4,Auto,2WD,Gasoline,SUV,14,20,16,7,4,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,6.0,8,Auto-L4,Auto,2WD,Gasoline,SUV,12,17,14,7,2,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,6.0,8,Auto-L4,Auto,4WD,Gasoline,SUV,12,17,14,7,2,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,5.3,8,Auto-L4,Auto,2WD,Ethanol/Gas,SUV,12,17,14,6,5,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,5.3,8,Auto-L4,Auto,4WD,Ethanol/Gas,SUV,12,16,14,6,5,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,6.0,8,Auto-L4,Auto,2WD,Gasoline,SUV,12,17,14,6,2,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,6.0,8,Auto-L4,Auto,4WD,Gasoline,SUV,12,17,14,6,2,No
CHEVROLET Avalanche 1500,CHEVROLET,2008,5.3,8,Auto-L4,Auto,2WD,Gasoline,SUV,14,20,16,3,4,No
CHEVROLET Aveo,CHEVROLET,2008,1.6,4,Auto-4,Auto,2WD,Gasoline,small car,23,32,26,7,8,Yes
CHEVROLET Aveo,CHEVROLET,2008,1.6,4,Man-5,Man,2WD,Gasoline,small car,24,34,27,7,8,Yes
CHEVROLET Aveo,CHEVROLET,2008,1.6,4,Auto-4,Auto,2WD,Gasoline,small car,23,32,26,6,8,Yes
CHEVROLET Aveo,CHEVROLET,2008,1.6,4,Man-5,Man,2WD,Gasoline,small car,24,34,27,6,8,Yes
CHEVROLET Aveo 5,CHEVROLET,2008,1.6,4,Auto-4,Auto,2WD,Gasoline,small car,23,32,26,7,8,Yes
CHEVROLET Aveo 5,CHEVROLET,2008,1.6,4,Man-5,Man,2WD,Gasoline,small car,24,34,27,7,8,Yes
CHEVROLET Aveo 5,CHEVROLET,2008,1.6,4,Auto-4,Auto,2WD,Gasoline,small car,23,32,26,6,8,Yes
CHEVROLET Aveo 5,CHEVROLET,2008,1.6,4,Man-5,Man,2WD,Gasoline,small car,24,34,27,6,8,Yes
CHEVROLET Classic,CHEVROLET,2008,3.5,6,Auto-L4,Auto,2WD,Gasoline,midsize car,18,28,22,7,6,Yes
CHEVROLET Classic,CHEVROLET,2008,2.2,4,Auto-L4,Auto,2WD,Gasoline,midsize car,21,31,25,6,7,Yes
CHEVROLET Classic,CHEVROLET,2008,3.5,6,Auto-L4,Auto,2WD,Gasoline,midsize car,18,28,22,6,6,No
